,"Regression_
Decomposition_1","Regression_
Decomposition_2","ARIMA_
Decomposition_1","ARIMA_
Decomposition_2",Holts_winter_Decomposition_1,Holts_winter_Decomposition_2,Ses_Decomposition_1,Ses_Decomposition_2,Fbprophet_Decomposition_1,Fbprophet_Decomposition_2,Regression_2lag_Decomposition_1,Regression_2lag_Decomposition_2,,,,,Date,Variable_1,Decomposition_1,Decomposition_2
0,199693.5922,1753.364906,267231.9843,1264.254283,207933.1255,1556.685436,259756,1739.646628,217858.0061,1648.852242,185443.8828,1870.382237,,,,,1/1/2017,47.86,176732,1942.21
1,188919.2429,1637.37267,207551.3877,1798.454643,194437.1456,1474.405409,259756,1739.646628,219524.0817,1624.35089,195071.2092,1743.657036,,,,,2/1/2017,58.13,180486,1749.93
2,185209.6276,1887.9751,177882.7073,1972.884058,190650.6742,1715.664732,259756,1739.646628,221028.9241,1602.220636,204238.2028,1846.391771,,,,,3/1/2017,55.92,180455,2399.42
3,191158.8721,1792.163008,176357.0773,1909.327434,197738.9994,1624.055455,259756,1739.646628,222694.9997,1577.719283,203876.1152,1768.659192,,,,,4/1/2017,59.76,185070,2126.85
4,199504.9716,1908.223947,189305.0258,1891.790663,207720.1227,1719.565771,259756,1739.646628,224307.3309,1554.008297,188475.932,1742.490141,,,,,5/1/2017,64.32,195915,2242.5
5,199228.7536,1821.860883,198856.5408,1958.479423,206139.4866,1706.59135,259756,1739.646628,225973.4065,1529.506944,181363.7422,1485.201401,,,,,6/1/2017,61.69,194849,2436.44
6,186411.325,1756.790047,197006.3841,1731.686189,190382.3102,1626.25596,259756,1739.646628,227585.7377,1505.795958,207176.0502,1892.080566,,,,,7/1/2017,56.54,175999,2016.88
7,181262.6381,1475.232478,186578.9897,1861.08813,183580.6706,1409.631855,259756,1739.646628,229251.8133,1481.294605,215059.2202,2293.388211,,,,,8/1/2017,46.64,167606,1755.23
8,210381.539,1838.399957,184887.0302,1686.121577,210782.6386,1775.882189,259756,1739.646628,230917.8889,1456.793253,231884.6634,1884.863594,,,,,9/1/2017,47.61,204624,2149.94
9,218121.5948,2223.271103,205042.7535,1926.832322,217667.3826,2198.510259,259756,1739.646628,232530.2201,1433.082266,256471.5162,1227.577692,,,,,10/1/2017,48.56,208619,2905.47
10,232209.7219,1845.78169,214799.933,2197.335461,232565.5465,1829.899017,259756,1739.646628,234196.2956,1408.580914,212502.0556,1936.693488,,,,,11/1/2017,44.29,211209,2338.88
11,255935.8623,1200.967316,246314.7804,2004.973843,255831.0636,1226.865665,259756,1739.646628,235808.6268,1384.869927,186859.4159,1872.700659,,,,,12/1/2017,38.21,235248,1501.86
,,,,,,,,,,,,,,,,,1/1/2018,30.69,206572,1917.32
,,,,,,,,,,,,,,,,,2/1/2018,32.48,181283,1854.92
,,,,,,,,,,,,,,,,,3/1/2018,38.49,176225,1795.07
,,,,,,,,,,,,,,,,,4/1/2018,41.48,186280,1791.56
,,,,,,,,,,,,,,,,,5/1/2018,46.88,195622,1876.14
,,,,,,,,,,,,,,,,,6/1/2018,48.34,195471,1563.61
,,,,,,,,,,,,,,,,,7/1/2018,45.1,186797,1830.67
,,,,,,,,,,,,,,,,,8/1/2018,45.77,184135,1508.25
,,,,,,,,,,,,,,,,,9/1/2018,46.67,200510,1956.76
,,,,,,,,,,,,,,,,,10/1/2018,49.66,211006,2133.19
,,,,,,,,,,,,,,,,,11/1/2018,45.13,238156,1813.04
,,,,,,,,,,,,,,,,,12/1/2018,53.6,259756,1203.39
,,,,,,,,,,,,,,,,,1/1/2019,47.61,207572,2017.32
,,,,,,,,,,,,,,,,,2/1/2019,48.56,182283,1954.92
,,,,,,,,,,,,,,,,,3/1/2019,44.29,177225,1895.07
,,,,,,,,,,,,,,,,,4/1/2019,38.21,187280,1891.56
,,,,,,,,,,,,,,,,,5/1/2019,30.69,196622,1976.14
,,,,,,,,,,,,,,,,,6/1/2019,32.48,196471,1663.61
,,,,,,,,,,,,,,,,,7/1/2019,38.49,187797,1930.67
,,,,,,,,,,,,,,,,,8/1/2019,41.48,185135,1608.25
,,,,,,,,,,,,,,,,,9/1/2019,46.88,201510,2056.76
,,,,,,,,,,,,,,,,,10/1/2019,48.34,212006,2233.19
,,,,,,,,,,,,,,,,,11/1/2019,45.1,239156,1913.04
,,,,,,,,,,,,,,,,,12/1/2019,45.77,260756,1303.39
